料理名,エネルギーkcal,たんぱく質,総量,亜鉛,銅,セレン,レチノール当量,D,トコフェロールa,B1,B2,ナイアシン,B6,B12,C,食塩相当量
あさりとバジルのパスタ,215.15,11.2,1.1,1.8,0.18,0.145,26.05,0,2.7,0.0298,0.0624,0.5,0.2236,31.9,2.32,1
あさりの味噌汁,57.42,7.8,0.9,1.1,0.11,38.96,5.05,0,0.5,0.0311,0.178,1.7,0.0724,52.4,3.1,3.8
あさりの酒蒸し,91.35,15.1,0,2.5,0.15,95,10,0,1,0.05,0.4,3.5,0.1105,131,2.5,5.5
いもの子汁,23.59,1,1.4,0.1,0.04,0.565,71.7,0,0.1,0.018,0.02215,0.3,0.03905,0.008,1.9,0.9
いりどり,226.32,9,3.7,1.3,0.15,11.11,197.02,0.1,0.8,0.1145,0.1281,3,0.2158,0.315,18.25,1.7
うどん,291.21,9,1.8,0.3,0.1,11.275,0,0.1,0.2,0.0517,0.053,1.4,0.0509,0.216,0,6.9
うどん汁,33.15,1.3,1.2,0.1,0.03,1.143,71,0.1,0,0.0405,0.0333,0.8,0.0314,0.004,0.4,1
えのきいりひたし,1.775,0.2,0,0,0,0.275,0,0,0,0.00125,0.00425,0,0.00425,0.0025,0,0.4
えびとブロッコリーの炒め物,452.6,45.8,6,4.4,0.94,57.5,92.35,0.1,8.6,0.33685,0.3529,6.5,0.6029,2.471,150.84,5.6
かきあえなま酢,17.275,1.3,1.1,0.2,0.04,0.575,0,0.1,0.2,0.03425,0.02525,0.5,0.02725,0.0025,5,0.4
かき玉汁,2.13,0.2,0,0,0,0.336,0,0,0,0.0015,0.0051,0,0.0051,0.003,0,1
かしわ汁　,28.06,2.2,1.4,0.2,0.03,1.182,88.86,0.3,0.2,0.0396,0.0494,1,0.0475,0.031,2.77,1.4
かにクリームコロッケ,792.13,17.1,2.5,2.5,0.31,67.36,187.3,1.1,8.1,0.231,0.5761,4.8,0.294,2.665,9.12,1.1
かに玉丼,1051,30.3,1.3,5.4,0.53,39.065,166.05,2,7.5,0.3557,0.5852,3,0.2566,1.102,2.18,3.7
かに雑炊,344.94,20.1,0.8,2.9,0.33,97.08,83.9,1,1.7,0.232,0.6251,10.2,0.2747,4.263,2.8,3.6
かぶの千枚漬け,210.68,3.8,11.7,0.6,0.16,0.215,195.1,0,4.7,0.1726,0.278,2.7,0.5816,0.15,66.42,2.2
かぶの即席漬け,6,0.1,0.5,0,0.01,0.004,35.5,0,0,0.009,0.0085,0.1,0.0185,0,3.8,0.4
かぼちゃのそぼろあんかけ,208.005,8.9,4.4,1.1,0.11,12.235,408.99,0.1,6.1,0.13945,0.18205,4.4,0.37505,0.379,53.715,1.5
かぼちゃのみそ汁,46.68,2.2,2.6,0.3,0.06,0.48,27.6,0.2,0.9,0.059,0.055,1.2,0.0646,0.009,6.4,0.5
かぼちゃの煮物,129.47,2.3,1.1,0.3,0.03,2.28,99,0,1.5,0.03,0.0576,0.7,0.1019,0.018,12.9,2.9
かぼちゃサラダ,296.23,14.9,2.2,1.4,0.12,19.42,254.1,1.3,4.3,0.32,0.3439,3.5,0.2892,0.691,43.42,1.5
きつねうどん,529.46,21.3,2.9,1.6,0.21,36.97,0.56,0,0.9,0.1325,0.1291,6,0.1877,1.467,1.12,5.1
きのこ汁,36.01,1.9,2.1,0.2,0.06,0.5,50.19,0.5,0,0.0434,0.0541,1.5,0.0499,0.009,3.36,0.5
きゅうりのごま酢あえ,17.375,1,1.2,0.1,0.05,0.878,48.24,0,0.1,0.02634,0.02681,0.2,0.04154,0.0035,7.346,0.5
きゅうりの梅酢あえ,1.775,0.2,0,0,0,0.275,0,0,0,0.00125,0.00425,0,0.00425,0.0025,0,0.4
きゅうりの甘酢あえ,0.355,0,0,0,0,0.058,0,0,0,0.00025,0.00085,0,0.00085,0.0005,0,0.4
きんぴら,135.519,1.9,3.1,0.5,0.1,1.795,180.006,0,0.3,0.04644,0.05278,0.6,0.09624,0.012,2.7,1.7
きんぴらごぼう,317.41,3.8,7.7,1.1,0.26,3.02,525.6,0,2.6,0.1101,0.1144,1.2,0.2089,0.018,7.38,2.7
きんぴら丼,44.06,1.6,2.5,0.5,0.09,0.97,106.51,0,0.4,0.0449,0.0287,0.5,0.0723,0.007,10.45,1
くきわかめのいためもの,23.385,0.8,1.1,0.2,0.05,0.275,49.71,0,0.1,0.01935,0.01505,0.2,0.04395,0.0025,2.48,0.4
けんちん汁,2.84,0.3,0,0,0,0.446,0,0,0,0.002,0.0068,0.1,0.0068,0.004,0,1.2
こんにゃくサラダ,1.42,0.2,0,0,0,0.222,0,0,0,0.001,0.0034,0,0.0034,0.002,0,0.5
ごぼうサラダ,288.48,4.5,8.3,1.4,0.33,3.82,538.85,0.2,3.2,0.1382,0.1295,1.4,0.2248,0.078,7.38,1.6
ごまあえ,2.485,0.3,0,0,0,0.385,0,0,0,0.00175,0.00595,0,0.00595,0.0035,0,0.5
ごまびたし,2.485,0.3,0,0,0,0.385,0,0,0,0.00175,0.00595,0,0.00595,0.0035,0,0.5
ごま酢あえ,17.375,1,1.2,0.1,0.05,0.878,48.24,0,0.1,0.02634,0.02681,0.2,0.04154,0.0035,7.346,0.5
さつまいもごはん,0,0,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0.9
さつまいもと大豆の揚げ煮,80.577,2.6,1.8,0.3,0.11,0.405,0.808,0,0.8,0.06907,0.02999,0.3,0.12367,0.0015,11.6,0.2
さつまいもと豚肉の甘辛いため,54.364,2.6,1.7,0.3,0.07,0.584,2.95,0,0.6,0.051,0.03748,0.3,0.08958,0.0034,7.52,0.5
さつまいものきんぴら,330.925,3.4,2.7,0.6,0.24,2.02,2.04,0,2.1,0.1386,0.0798,1.2,0.32145,0.018,29,2.6
さつまいもサラダ,56.83,0.6,1.1,0.1,0.08,0.123,4.16,0,0.6,0.0491,0.0201,0.3,0.1155,0,13.53,0.3
さつま汁,70.73,1.8,2.6,0.2,0.09,0.18,127.1,0,1.2,0.0465,0.036,0.4,0.1131,0.009,12.3,0.5
さばの味噌煮,282.45,18.8,0.9,1.1,0.17,58.525,29.6,4.1,1.1,0.17675,0.27,9.6,0.52775,10.325,0.95,2
さんまの竜田揚げ,416.37,20.2,0.3,1.1,0.13,33.51,15.68,14.6,2.3,0.0323,0.3288,7.6,0.6015,15.128,0.3,5.5
しいたけごはん,3.053,0.3,0,0,0,0.473,0,0,0,0.00215,0.00731,0.1,0.00731,0.0043,0,0.6
しいたけと豆腐のみそ汁,27.41,1.3,1.4,0.1,0.03,0.18,130.8,0,1,0.0113,0.025,0.2,0.0308,0.009,4.52,0.5
しめじ入りひたし,1.775,0.2,0,0,0,0.275,0,0,0,0.00125,0.00425,0,0.00425,0.0025,0,0.4
じゃがいものきんぴら,54.815,1.6,1.9,0.3,0.09,0.275,73.46,0,0.2,0.04815,0.03405,0.6,0.12215,0.0025,11.4,0.4
じゃがいものみそ汁,3.55,0.4,0,0,0,0.555,0,0,0,0.0025,0.0085,0.1,0.0085,0.005,0,1.2
じゃがいものカレーきんぴら,54.815,1.6,1.9,0.3,0.09,0.275,73.46,0,0.2,0.04815,0.03405,0.6,0.12215,0.0025,11.4,0.4
じゃがいもの味噌煮,238.32,7.6,3.8,0.8,0.31,2.88,0,0,0.2,0.1728,0.09,2.8,0.3672,0,63,4.7
じゃここんぶ,4.185,0.2,0,0,0,0.275,0,0,0,0.00125,0.00425,0,0.00435,0.0025,0,0.4
じゅんさいスープ,31.42,1.1,1,0.2,0.04,0.225,71.07,0,0.2,0.0178,0.0227,0.1,0.0246,0.002,1.16,0.8
